Symbol,Side,Cxl,Qty,Price,Bid,Ask,T-Dat,S-Dat,TradeID,Trade,TiSS,Exbkr,TradeCommType,Source,Commission,Account,OrderID,GTL,TrailerInfo,Clr
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900003,10:29:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,30,960876,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900003,10:30:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,00,969012,854300
CERS,SS,NEW,200,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:33:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,07,010998,854300
CERS,SS,NEW,200,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:33:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,07,011008,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:33:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,07,011010,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:33:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,32,016697,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:36:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,07,049583,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:37:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,35,064327,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:41:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,37,109761,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:43:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,07,129108,854300
